carfolder,folder_name,Cd,Cl,des_1,des_2,des_3,des_4,des_5,des_6,des_7,des_8,des_9,des_10,des_11,des_12,des_13,des_14,des_15,des_16,des_17,des_18,des_19,des_20,des_21,des_22,des_23,des_24,des_25,des_26,des_27,des_28,des_29,pca_1,pca_2,pca_3,ima_1,ima_2,ima_3,ima_4,ima_5,ima_6,ima_7,ima_8,ima_9,ima_10,ima_11,ima_12,ima_13,ima_14
cx5_038,cx5_038,0.315220585,-0.048912233,0.2,0.08,-0.03,-0.05,0.14,0.0,-0.02,-0.02,0.04,-0.01,0.07,1.0,-0.034,0.05,-0.05,-0.02,-0.02,0.018,0.018,-0.06,0.018,-0.58,-0.05,-0.05,-0.02,0.018,0.018,0.0,-0.018,-0.27145249153063133,2.093629831571935,-0.0672183390464241,4.152709381745864,3.8392664645901586,4.919521824871747,4.361575843226069,4.461416032559843,3.910708219067635,4.216267202621712,3.3666306049473436,3.503155639308779,3.256737367943614,4.085609503764484,3.9413544997820473,4.08660812871069,4.1699547810304445
cx5_039,cx5_039,0.313051115,-0.040559308,0.1,0.06,-0.016,-0.05,0.08,-0.05,-0.02,-0.02,0.04,-0.02,0.07,1.0,-0.034,-0.048,-0.05,-0.02,-0.02,0.018,0.018,-0.06,0.018,-0.6,-0.002,-0.05,-0.02,0.034,0.034,0.05,-0.016,-0.22100285052138213,1.7932676861704842,0.16938525994278578,4.051176856897129,3.728033778030774,4.7472310820986285,4.294929278363111,4.314009178050583,4.021036691214047,4.262336773606235,3.4257868914984053,3.60621026260946,3.288441557637005,4.118735983367462,3.9696855673346167,4.156260413654305,4.163302341854958
cx5_040,cx5_040,0.311801164,-0.046607237,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.016,0.05,-0.05,0.04,-0.02,0.034,0.034,-0.06,0.034,-0.6,-0.05,-0.05,0.02,0.034,0.034,0.0,0.016,-0.30545484654020294,1.7041263753685953,-0.3870878441576103,3.9807049798656298,3.7178346987472626,4.711571093256362,4.203060020076407,4.287204377477277,3.847989493929571,4.061288499469054,3.3669535712525103,3.460796449133177,3.2960061979145565,4.144592439420961,3.965036263606042,3.985499426320727,4.238053041320199
cx5_041,cx5_041,0.310495999,-0.032772191,0.1,0.08,-0.034,-0.05,0.08,-0.048,-0.02,0.04,0.04,-0.01,0.075,1.05,-0.016,0.05,0.05,0.04,-0.02,0.016,0.018,-0.06,0.018,-0.6,0.0,-0.05,0.02,0.034,0.034,0.05,-0.018,-0.977265915992104,1.4264973937117151,0.1952126251599382,3.7125054154942125,3.4401643362498997,4.448874836848775,4.177601736805517,4.0468984038263285,4.044033125973854,4.332949168265918,3.2557192122262575,3.4375773657819284,3.031518326837002,3.9484535334755404,3.7715477027454725,4.066080246869385,3.9994838549970755
cx5_042,cx5_042,0.320585029,-0.049372299,0.2,0.14,-0.016,-0.05,0.14,0.0,-0.02,0.04,-0.02,-0.02,0.075,1.05,-0.034,-0.05,-0.05,0.04,-0.04,0.018,0.034,0.06,0.018,0.34,0.0,-0.05,0.02,0.034,0.018,0.0,0.018,0.009581178753302666,1.6269247513491347,0.13968308823190953,4.042732125843435,3.7197921117854933,4.683552775729089,4.241200436924167,4.264417483089645,4.036802797431112,4.20206107987864,3.5007545688193487,3.68298472245875,3.3922022743898346,4.205115003888647,4.048827731171458,4.173622252956638,4.2345318794808575
cx5_043,cx5_043,0.306795052,-0.046841968,0.1,0.08,-0.034,0.0,0.06,0.0,0.04,-0.04,0.04,-0.01,0.075,1.0,-0.034,-0.05,-0.05,0.04,0.04,0.018,0.034,-0.06,0.018,-0.6,-0.05,-0.05,-0.02,0.018,0.018,0.05,-0.016,-0.6276917894344627,1.7637365397945146,-0.22381447963340823,3.926334752362262,3.66029440240151,4.698510844632588,4.237939968047197,4.268820547919777,3.8838480932689374,4.170704141059349,3.2872304012387614,3.401166032204988,3.159042826119428,4.03581623857652,3.8626083658623838,3.993653181805248,4.129969005699342
cx5_044,cx5_044,0.308907453,-0.035243129,0.1,0.08,-0.034,-0.05,0.08,-0.05,-0.02,0.04,-0.02,-0.01,0.07,1.0,-0.034,-0.05,-0.05,-0.02,-0.02,0.034,0.018,-0.06,0.018,-0.6,-0.05,-0.05,-0.018,0.018,0.018,0.0,0.018,-0.5936653939384782,1.9941274365523576,-0.44391115246451474,4.021819929758501,3.7634397707203373,4.841215983072894,4.285196510930721,4.392504574717122,3.7891159910352825,4.111521288253014,3.2585068012811753,3.3336852686798704,3.164566657975212,4.033486564169161,3.8631598396969604,3.938070354223381,4.158888645119812
cx5_045,cx5_045,0.322406309,-0.05597109,0.2,0.08,-0.016,0.0,0.14,-0.05,0.04,0.04,-0.02,-0.01,0.07,1.05,-0.034,0.05,-0.05,0.04,-0.02,0.034,0.034,-0.08,0.018,0.4,-0.05,-0.05,-0.02,0.018,0.034,0.0,0.018,-1.5548867581173815,2.0405009020462526,0.06968019297388015,3.8077351084092164,3.543871082729881,4.72756174407249,4.351148675423522,4.274043416289953,3.918759040525148,4.433014893402889,3.034526822729531,3.176483397606111,2.7659100659703655,3.7227126070238814,3.5655269830413427,3.9681507059857357,3.8406041429750797
cx5_046,cx5_046,0.319683681,-0.045991298,0.2,0.14,-0.016,0.0,0.08,0.0,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.016,0.042,-0.05,-0.02,0.04,0.018,0.018,0.06,0.034,-0.6,-0.052,0.0,0.022,0.018,0.034,0.05,0.018,0.11628387992409706,1.2750236525426395,-0.5965639078769571,3.911638506974543,3.669757012344199,4.532083236879204,4.0480640925671265,4.144413930336806,3.8400721159048565,3.880745856926607,3.5029736156589277,3.578333144002109,3.5055302932132664,4.328225752826633,4.121918302944089,3.9711239100309457,4.4012628762544175
cx5_047,cx5_047,0.31158987,-0.023044626,0.1,0.08,-0.034,-0.05,0.14,0.0,0.04,0.04,0.04,-0.01,0.075,1.0,-0.034,-0.05,0.052,0.04,0.04,0.034,0.034,-0.06,0.016,-0.6,-0.048,-0.05,-0.02,0.018,0.034,0.0,0.018,-1.1362254036757458,2.1551808713849834,-0.263305175138305,3.9522728363955615,3.6943825672982515,4.857322716320836,4.3521702143347225,4.394723809784605,3.8125057261904947,4.268142569276236,3.1114138387464085,3.204397517984083,2.934089931428,3.8497557010638657,3.6891505071907735,3.9256703792853758,3.988194866243736
