id,car_name,des_1,des_2,des_3,des_4,des_5,des_6,des_7,des_8,des_9,des_10,des_11,des_12,des_13,des_14,des_15,des_16,des_17,des_18,des_19,des_20,des_21,des_22,des_23,des_24,des_25,des_26,des_27,des_28,des_29,ima_1,ima_2,ima_3,ima_4,ima_5,ima_6,ima_7,ima_8,ima_9,ima_10,ima_11,ima_12,ima_13,ima_14
14,Hyundai_Kona_(Mk1f)_(OS)_Electric_2020,0.088,0.031,-0.028,0.035,-0.036,-0.075,0.079,-0.038,0.168,0.0,0.04498,1.022,0.0,-0.109,-0.142,-0.048,0.173,0.0,0.0,-0.057,0.0,0.675317348,0.043,-0.015,0.016,0.039,-0.011,0.041,-0.024,5.476190476,5.285714286,5.523809524,4.238095238,4.80952381,4.238095238,3.666666667,5.142857143,5.380952381,4.857142857,5.476190476,5.380952381,4.904761905,5.285714286
15,Jeep_Renegade_Latitude_2014,0.043,0.356,0.002,0.075,0.082,-0.004,0.215,-0.056,-0.151,0.0,0.080025,0.995,0.0,-0.029,-0.187,-0.07,0.155,-0.056,0.079,0.308,0.011,0.383465819,0.023,-0.03,0.038,-0.111,0.021,0.126,0.034,2.722222222,2.888888889,2.944444444,2.888888889,2.555555556,4.833333333,3.833333333,4.5,4.333333333,4.055555556,4.5,5.111111111,4.666666667,4.777777778
16,Jeep_Wrangler_(Mk4)_(JL)_Rubicon_2018,-0.101,0.338,0.018,0.077,-0.025,-0.18,0.335,0.296,-0.466,0.0,0.066115,1.152,-0.252,0.43,-0.319,-0.212,0.061,-0.088,0.084,1.042,0.008,0.943055556,-0.049,0.042,0.094,-0.207,0.051,0.164,-0.096,1.894736842,1.578947368,1.578947368,2.0,1.789473684,5.315789474,4.947368421,3.578947368,4.736842105,3.631578947,4.473684211,4.578947368,4.684210526,3.947368421
17,Kia_Niro_(Mk1)_(DE)_e_2019,0.09,0.086,-0.076,0.093,0.028,-0.103,0.187,-0.051,0.191,0.0,0.0319,1.013,0.0,-0.181,-0.058,-0.065,0.092,0.0,0.0,-0.063,0.0,0.537772087,0.007,-0.002,-0.005,0.065,-0.006,0.036,0.022,3.954545455,4.045454545,4.636363636,3.681818182,4.181818182,3.636363636,3.0,4.590909091,4.363636364,5.090909091,5.681818182,5.181818182,3.545454545,5.409090909
18,Lamborghini_Urus_2019,0.046,-0.238,-0.061,0.06,0.013,-0.094,0.117,-0.015,-0.053,0.0,0.047915,1.058,-0.059,-0.005,0.052,0.037,-0.044,-0.015,0.026,-0.056,0.0,0.752727273,0.066,-0.086,-0.006,0.01,-0.043,-0.013,-0.033,3.80952381,3.19047619,4.714285714,4.761904762,4.285714286,5.476190476,5.80952381,2.80952381,4.428571429,2.19047619,3.80952381,3.666666667,5.523809524,3.333333333
19,Land-Rover_Defender_(Mk2)_110_HardTop_2020,-0.032,0.47,0.017,0.006,0.003,-0.007,0.099,0.041,-0.146,0.0,0.03543,1.099,0.0,0.016,-0.104,-0.16,0.129,0.013,0.047,0.504,0.005,0.680136986,0.023,0.081,-0.035,-0.069,0.11,0.088,-0.025,2.0,2.210526316,1.842105263,2.368421053,1.894736842,4.473684211,3.526315789,3.789473684,4.157894737,3.578947368,5.0,4.578947368,4.263157895,4.684210526
20,Land-Rover_Range_Rover_(Mk5)_(L460)_Autobiography_2022,0.125,0.009,-0.022,0.079,0.097,-0.054,0.132,-0.026,-0.015,0.0,0.04852,1.12,-0.014,-0.13,0.172,-0.112,-0.268,0.0,0.0,0.654,0.039,0.493972603,0.008,0.025,0.096,-0.055,-0.041,0.072,-0.012,2.684210526,2.842105263,2.421052632,3.052631579,3.210526316,2.842105263,3.684210526,3.578947368,2.842105263,3.210526316,3.947368421,3.842105263,3.052631579,3.894736842
21,Mazda_CX-4_(Mk1f)_2020,-0.008,-0.168,-0.038,0.101,0.0,-0.134,-0.039,-0.054,0.108,0.0,0.062885,1.011,0.0,0.027,-0.043,-0.044,-0.053,0.0,0.0,0.047,0.005,0.011518325,-0.029,-0.074,-0.098,-0.018,-0.007,0.07,0.007,5.47826087,5.173913043,5.260869565,3.47826087,5.217391304,3.956521739,3.869565217,3.52173913,3.869565217,3.913043478,4.913043478,4.695652174,4.0,4.739130435
22,Mazda_CX-5_(Mk2)_2017 (1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.045454545,3.409090909,4.636363636,3.681818182,4.363636364,4.090909091,3.545454545,3.090909091,3.454545455,4.181818182,5.045454545,4.681818182,4.0,5.0
23,Mercedes-Benz_EQC_2020,-0.004,0.097,-0.067,0.003,0.097,-0.061,0.121,-0.031,-0.116,0.0,0.04404,1.056,-0.109,0.069,0.053,-0.106,-0.12,0.007,-0.006,0.351,0.042,0.727683616,-0.027,-0.09,0.099,-0.009,-0.057,0.037,0.03,2.823529412,3.352941176,4.647058824,4.294117647,4.058823529,3.352941176,4.058823529,2.882352941,2.411764706,2.529411765,3.470588235,3.470588235,3.882352941,3.647058824
