carfolder,folder_name,Cd,Cl
cx5_130,cx5_130,0.310119899,-0.062272309
cx5_131,cx5_131,0.313135654,-0.026555136
cx5_132,cx5_132,0.311843744,-0.031459883
cx5_133,cx5_133,0.306763093,-0.045280389
cx5_134,cx5_134,0.310471495,-0.06782875
cx5_135,cx5_135,0.310041532,-0.067865077
cx5_136,cx5_136,0.310926086,-0.067725171
cx5_137,cx5_137,0.312761425,-0.032941001
cx5_138,cx5_138,0.304270284,-0.038278736
cx5_139,cx5_139,0.311228123,-0.054354637
cx5_140,cx5_140,0.31069881,-0.057670162
cx5_141,cx5_141,0.315315342,-0.060061108
cx5_142,cx5_142,0.309689273,-0.035244999
cx5_143,cx5_143,0.31900665,-0.06756249
cx5_144,cx5_144,0.312963905,-0.042247794
cx5_145,cx5_145,0.309485974,-0.053349171
cx5_146,cx5_146,0.31615396,-0.052873929
cx5_147,cx5_147,0.307489693,-0.05125228
cx5_148,cx5_148,0.312445443,-0.057319784
cx5_149,cx5_149,0.309265849,-0.050761201
cx5_150,cx5_150,0.31094882,-0.049687232
cx5_151,cx5_151,0.313736298,-0.029570974
cx5_152,cx5_152,0.313628563,-0.059154178
cx5_153,cx5_153,0.308078181,-0.027158743
cx5_154,cx5_154,0.314867773,-0.038427185
cx5_155,cx5_155,0.315719024,-0.066677534
cx5_156,cx5_156,0.324886746,-0.048601909
cx5_157,cx5_157,0.318754229,-0.067791198
cx5_158,cx5_158,0.318624058,-0.059571265
cx5_159,cx5_159,0.313797323,-0.038741606
cx5_160,cx5_160,0.317066115,-0.042341123
cx5_161,cx5_161,0.309429004,-0.056938244
cx5_162,cx5_162,0.309589606,-0.046561292
cx5_163,cx5_163,0.317066115,-0.042341123
cx5_164,cx5_164,0.311514815,-0.057726151
cx5_165,cx5_165,0.310926086,-0.067725171
cx5_166,cx5_166,0.319193965,-0.060177424
cx5_167,cx5_167,0.307835498,-0.061904288
cx5_168,cx5_168,0.308310777,-0.04737008
cx5_169,cx5_169,0.316635461,-0.070737355
cx5_170,cx5_170,0.309740107,-0.057299326
cx5_171,cx5_171,0.31592593,-0.066428782
cx5_172,cx5_172,0.307665693,-0.019309419
cx5_173,cx5_173,0.306108096,-0.041872973
cx5_174,cx5_174,0.312014439,-0.032917707
cx5_175,cx5_175,0.314631611,-0.063677981
cx5_176,cx5_176,0.314033722,-0.062827175
cx5_177,cx5_177,0.309774846,-0.054974414
cx5_178,cx5_178,0.316157355,-0.071441139
cx5_179,cx5_179,0.313797323,-0.038741606
cx5_180,cx5_180,0.311136359,-0.057070231
cx5_181,cx5_181,0.311651859,-0.063564981
cx5_182,cx5_182,0.322203385,-0.032153064
cx5_183,cx5_183,0.314290914,-0.03482246
cx5_184,cx5_184,0.312007849,-0.053989438
cx5_185,cx5_185,0.318754122,-0.035776914
cx5_186,cx5_186,0.313619802,-0.067173849
cx5_187,cx5_187,0.309312703,-0.057837076
cx5_188,cx5_188,0.312822753,-0.046298911
cx5_189,cx5_189,0.308260323,-0.047653867
cx5_190,cx5_190,0.312475362,-0.024724083
cx5_191,cx5_191,0.303573256,-0.040946744
cx5_192,cx5_192,0.317578299,-0.05516576
cx5_193,cx5_193,0.312720662,-0.045919787
cx5_194,cx5_194,0.312395797,-0.04093205
cx5_195,cx5_195,0.306761556,-0.030694564
cx5_196,cx5_196,0.313067833,-0.054172832
cx5_197,cx5_197,0.312396127,-0.050888537
cx5_198,cx5_198,0.323543808,-0.057116929
cx5_199,cx5_199,0.314621074,-0.065969107
cx5_200,cx5_200,0.303573256,-0.040946744
cx5_201,cx5_201,0.305771548,-0.051503397
cx5_202,cx5_202,0.308641687,-0.049525781
cx5_203,cx5_203,0.320585029,-0.049372299
cx5_204,cx5_204,0.313288442,-0.057778384
cx5_205,cx5_205,0.310566197,-0.064780448
cx5_206,cx5_206,0.300244911,-0.041081045
cx5_207,cx5_207,0.320196852,-0.05397777
cx5_208,cx5_208,0.317199433,-0.064538935
cx5_209,cx5_209,0.3177432,-0.05334336
cx5_210,cx5_210,0.312336115,-0.071815702
cx5_211,cx5_211,0.313029983,-0.062038678
cx5_212,cx5_212,0.318232933,-0.065032622
cx5_213,cx5_213,0.325225739,-0.056894262
cx5_214,cx5_214,0.307730905,-0.038904489
cx5_215,cx5_215,0.311747411,-0.068840554
cx5_216,cx5_216,0.308252926,-0.045332384
cx5_217,cx5_217,0.312915258,-0.051510969
cx5_218,cx5_218,0.305123433,-0.058974972
cx5_219,cx5_219,0.310653867,-0.069362584
cx5_220,cx5_220,0.317088683,-0.064887172
cx5_221,cx5_221,0.311166958,-0.064807291
cx5_222,cx5_222,0.313042207,-0.069659987
cx5_223,cx5_223,0.310313587,-0.042290289
cx5_224,cx5_224,0.308131466,-0.065056959
cx5_225,cx5_225,0.311710505,-0.112429171
cx5_226,cx5_226,0.313773323,-0.103958711
cx5_227,cx5_227,0.308923881,-0.111449466
cx5_228,cx5_228,0.30684432,-0.07770292
cx5_229,cx5_229,0.30483095,-0.101433291
cx5_230,cx5_230,0.317493028,-0.110026671
cx5_231,cx5_231,0.310634798,-0.08926035
cx5_232,cx5_232,0.309968884,-0.102125692
cx5_233,cx5_233,0.317276579,-0.103964406
cx5_234,cx5_234,0.31114902,-0.098411281
cx5_235,cx5_235,0.307871248,-0.094814276
cx5_236,cx5_236,0.307312987,-0.095856836
cx5_237,cx5_237,0.305758432,-0.090875361
cx5_238,cx5_238,0.308528947,-0.093603422
cx5_239,cx5_239,0.330210971,-0.097939165
cx5_240,cx5_240,0.331132102,-0.109225148
cx5_241,cx5_241,0.308493454,-0.094154891
cx5_242,cx5_242,0.312081,-0.100385
cx5_243,cx5_243,0.314837,-0.0622952
cx5_244,cx5_244,0.309486,-0.0763304
cx5_245,cx5_245,0.31614,-0.0867687
cx5_246,cx5_246,0.307767,-0.0889104
