carfolder,folder_name,Cd,Cl,des_1,des_2,des_3,des_4,des_5,des_6,des_7,des_8,des_9,des_10,des_11,des_12,des_13,des_14,des_15,des_16,des_17,des_18,des_19,des_20,des_21,des_22,des_23,des_24,des_25,des_26,des_27,des_28,des_29
cx5_021,cx5_021,0.321624,-0.036827,0.2,0.07,-0.017,0.0,0.07,0.0,-0.03,-0.03,0.04,-0.02,0.075,1.05,-0.034,0.05,-0.05,-0.03,0.04,0.017,0.034,0.06,0.017,0.4,-0.05,-0.05,0.02,0.017,0.034,0.05,-0.017
cx5_022,cx5_022,0.32051,-0.052041,0.2,0.07,-0.017,0.0,0.07,0.0,-0.03,-0.03,0.04,-0.02,0.075,1.05,-0.034,0.05,-0.05,0.04,-0.03,0.034,0.017,-0.07,0.034,-0.6,0.0,0.0,-0.02,0.034,0.017,0.0,0.017
cx5_023,cx5_023,0.320645,-0.05381,0.2,0.07,-0.017,0.0,0.07,0.0,-0.03,0.04,-0.03,-0.01,0.07,1.0,-0.017,-0.05,0.05,-0.03,0.04,0.017,0.034,0.06,0.017,0.4,-0.05,0.0,-0.02,0.034,0.017,0.0,0.017
cx5_024,cx5_024,0.320717,-0.040718,0.2,0.07,-0.017,0.0,0.07,0.0,-0.03,0.04,-0.03,-0.01,0.07,1.0,-0.017,-0.05,0.05,0.04,-0.03,0.034,0.017,-0.07,0.034,-0.6,0.0,-0.05,0.02,0.017,0.034,0.05,-0.017
cx5_025,cx5_025,0.311475,-0.049819,0.2,0.14,-0.034,-0.05,0.14,0.0,-0.03,-0.03,0.04,-0.01,0.07,1.0,-0.017,0.05,-0.05,-0.03,0.04,0.034,0.017,-0.07,0.034,0.4,-0.05,-0.05,0.02,0.034,0.017,0.0,0.017
cx5_026,cx5_026,0.321045,-0.053572,0.2,0.14,-0.034,-0.05,0.14,0.0,-0.03,-0.03,0.04,-0.01,0.07,1.0,-0.017,0.05,-0.05,0.04,-0.03,0.017,0.034,0.06,0.017,-0.6,0.0,0.0,-0.02,0.017,0.034,0.05,-0.017
cx5_027,cx5_027,0.326932,-0.031351,0.2,0.14,-0.034,-0.05,0.14,0.0,-0.03,0.04,-0.03,-0.02,0.075,1.05,-0.034,-0.05,0.05,-0.03,0.04,0.034,0.017,-0.07,0.034,0.4,-0.05,0.0,-0.02,0.017,0.034,0.05,-0.017
cx5_028,cx5_028,0.332364,-0.05365,0.2,0.14,-0.034,-0.05,0.14,0.0,-0.03,0.04,-0.03,-0.02,0.075,1.05,-0.034,-0.05,0.05,0.04,-0.03,0.017,0.034,0.06,0.017,-0.6,0.0,-0.05,0.02,0.034,0.017,0.0,0.017
cx5_029,cx5_029,0.316888,-0.065007,0.2,0.14,-0.034,0.0,0.07,-0.05,0.04,-0.03,0.04,-0.01,0.07,1.05,-0.034,-0.05,0.05,-0.03,0.04,0.034,0.017,0.06,0.017,-0.6,0.0,-0.05,0.02,0.034,0.017,0.05,-0.017
cx5_030,cx5_030,0.316936,-0.052557,0.2,0.14,-0.034,0.0,0.07,-0.05,0.04,-0.03,0.04,-0.01,0.07,1.05,-0.034,-0.05,0.05,0.04,-0.03,0.017,0.034,-0.07,0.034,0.4,-0.05,0.0,-0.02,0.017,0.034,0.0,0.017
cx5_031,cx5_031,0.324787,-0.049889,0.2,0.14,-0.034,0.0,0.07,-0.05,0.04,0.04,-0.03,-0.02,0.075,1.0,-0.017,0.05,-0.05,-0.03,0.04,0.034,0.017,0.06,0.017,-0.6,0.0,0.0,-0.02,0.017,0.034,0.0,0.017
cx5_032,cx5_032,0.312494,-0.073353,0.2,0.14,-0.034,0.0,0.07,-0.05,0.04,0.04,-0.03,-0.02,0.075,1.0,-0.017,0.05,-0.05,0.04,-0.03,0.017,0.034,-0.07,0.034,0.4,-0.05,-0.05,0.02,0.034,0.017,0.05,-0.017
cx5_033,cx5_033,0.319110135,-0.057134104,0.2,0.08,-0.034,-0.05,0.14,-0.05,0.04,-0.02,0.04,-0.01,0.07,1.0,-0.016,0.048,0.05,0.04,-0.02,0.018,0.034,0.06,0.02,0.4,-0.05,0.0,-0.02,0.034,0.018,0.05,-0.016
cx5_034,cx5_034,0.319200943,-0.054958754,0.1,0.14,-0.016,-0.05,0.08,0.0,0.04,0.04,-0.02,-0.01,0.07,1.0,-0.016,0.05,0.05,-0.02,0.04,0.018,0.034,0.06,0.018,0.4,-0.05,0.0,-0.02,0.034,0.018,0.0,0.018
cx5_035,cx5_035,0.30434836,-0.033572279,0.1,0.08,-0.034,0.0,0.06,0.0,0.04,0.04,-0.02,-0.01,0.075,1.0,-0.034,-0.05,-0.05,0.04,0.04,0.016,0.034,-0.06,0.018,-0.6,-0.05,-0.05,-0.02,0.018,0.018,0.05,0.018
cx5_036,cx5_036,0.318442016,-0.047335723,0.1,0.14,-0.016,0.0,0.14,-0.05,-0.02,-0.02,-0.02,-0.01,0.075,1.05,-0.016,-0.05,-0.05,-0.04,0.04,0.018,0.034,-0.06,0.034,0.4,0.0,0.0,0.02,0.018,0.018,0.0,-0.016
cx5_037,cx5_037,0.321756934,-0.041376793,0.12,0.14,-0.016,-0.002,0.14,-0.05,-0.02,-0.04,-0.02,-0.01,0.07,1.05,-0.016,-0.048,-0.05,0.04,0.04,0.018,0.016,-0.06,0.016,0.4,0.0,0.0,0.02,0.034,0.018,0.05,-0.014
cx5_038,cx5_038,0.315220585,-0.048912233,0.2,0.08,-0.03,-0.05,0.14,0.0,-0.02,-0.02,0.04,-0.01,0.07,1.0,-0.034,0.05,-0.05,-0.02,-0.02,0.018,0.018,-0.06,0.018,-0.58,-0.05,-0.05,-0.02,0.018,0.018,0.0,-0.018
cx5_039,cx5_039,0.313051115,-0.040559308,0.1,0.06,-0.016,-0.05,0.08,-0.05,-0.02,-0.02,0.04,-0.02,0.07,1.0,-0.034,-0.048,-0.05,-0.02,-0.02,0.018,0.018,-0.06,0.018,-0.6,-0.002,-0.05,-0.02,0.034,0.034,0.05,-0.016
cx5_040,cx5_040,0.311801164,-0.046607237,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.016,0.05,-0.05,0.04,-0.02,0.034,0.034,-0.06,0.034,-0.6,-0.05,-0.05,0.02,0.034,0.034,0.0,0.016
cx5_041,cx5_041,0.310495999,-0.032772191,0.1,0.08,-0.034,-0.05,0.08,-0.048,-0.02,0.04,0.04,-0.01,0.075,1.05,-0.016,0.05,0.05,0.04,-0.02,0.016,0.018,-0.06,0.018,-0.6,0.0,-0.05,0.02,0.034,0.034,0.05,-0.018
