carfolder,folder_name,Cd,Cl,des_1,des_2,des_3,des_4,des_5,des_6,des_7,des_8,des_9,des_10,des_11,des_12,des_13,des_14,des_15,des_16,des_17,des_18,des_19,des_20,des_21,des_22,des_23,des_24,des_25,des_26,des_27,des_28,des_29
cx5_085,cx5_085,0.312130833,-0.047725665,0.2,0.06,-0.034,0.0,0.08,-0.05,0.04,-0.02,0.04,-0.01,0.07,1.05,-0.034,-0.05,-0.044,0.04,-0.02,0.018,0.018,-0.06,0.034,-0.6,-0.05,0.0,-0.02,0.018,0.034,0.0,0.018
cx5_086,cx5_086,0.31136099,-0.042777555,0.1,0.08,-0.034,-0.05,0.08,-0.05,0.04,0.04,0.04,-0.01,0.075,1.05,-0.034,-0.05,-0.052,-0.02,-0.04,0.018,0.034,-0.06,0.016,-0.56,-0.048,-0.052,0.024,0.034,0.034,0.05,0.018
cx5_087,cx5_087,0.315351039,-0.059595117,0.2,0.08,-0.016,0.0,0.08,0.0,0.04,-0.02,0.04,-0.02,0.075,1.05,-0.034,0.05,-0.05,0.04,-0.02,0.034,0.018,-0.06,0.034,0.4,0.0,0.0,-0.028,0.018,0.018,0.0,0.018
cx5_088,cx5_088,0.314803731,-0.048516582,0.2,0.14,-0.018,-0.05,0.14,0.0,0.04,-0.02,-0.02,-0.01,0.075,1.0,-0.016,0.05,0.05,0.04,0.04,0.016,0.018,0.06,0.036,-0.6,-0.05,0.0,0.02,0.018,0.018,0.052,0.018
cx5_089,cx5_089,0.311413548,-0.06821177,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.016,0.05,0.048,0.04,-0.02,0.018,0.014,0.06,0.018,0.4,-0.052,-0.05,0.02,0.034,0.014,0.05,-0.016
cx5_090,cx5_090,0.30842518,-0.031150327,0.1,0.08,-0.034,-0.05,0.08,-0.05,-0.02,0.04,0.04,-0.01,0.07,1.0,-0.034,0.05,-0.05,-0.02,0.04,0.034,0.018,-0.06,0.018,-0.6,-0.05,-0.05,-0.012,0.018,0.018,0.0,0.018
cx5_091,cx5_091,0.309631645,-0.070959101,0.2,0.14,-0.018,0.008,0.08,-0.05,0.04,-0.02,-0.02,-0.02,0.075,1.0,-0.016,0.05,0.05,0.04,-0.02,0.018,0.016,-0.06,0.018,0.4,-0.054,-0.05,0.02,0.034,0.014,0.05,-0.004
cx5_092,cx5_092,0.312924885,-0.069196183,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.016,0.05,-0.048,0.04,-0.02,0.018,0.034,-0.06,0.034,0.4,-0.052,-0.052,0.02,0.034,0.014,0.05,-0.016
cx5_093,cx5_093,0.309903357,-0.022027508,0.1,0.08,-0.034,0.0,0.14,0.0,0.04,0.04,0.04,-0.02,0.0748,1.052,-0.034,-0.05,-0.05,0.04,0.04,0.018,0.034,-0.06,0.016,-0.6,0.0,-0.05,-0.02,0.018,0.018,0.05,0.018
cx5_094,cx5_094,0.313053529,-0.028532914,0.1,0.14,-0.036,-0.05,0.08,0.002,-0.02,0.04,0.04,-0.02,0.075,1.05,-0.016,0.05,0.05,-0.02,0.04,0.018,0.018,-0.06,0.018,-0.6,-0.05,0.0,0.02,0.034,0.034,0.052,0.018
cx5_095,cx5_095,0.309640892,-0.049569094,0.2,0.14,-0.034,-0.002,0.08,-0.054,-0.02,0.04,-0.02,-0.02,0.075,0.994,-0.016,0.05,-0.05,0.04,-0.02,0.018,0.034,-0.06,0.034,-0.6,-0.05,-0.05,0.02,0.034,0.016,0.0,0.016
cx5_096,cx5_096,0.307966505,-0.034591464,0.1,0.08,-0.034,-0.05,0.06,-0.05,-0.02,0.04,-0.02,-0.01,0.07,1.0,-0.034,-0.05,-0.05,-0.02,-0.02,0.034,0.02,-0.06,0.018,-0.6,-0.05,-0.05,-0.02,0.018,0.018,0.0,0.018
cx5_097,cx5_097,0.311740278,-0.060529823,0.12,0.08,-0.034,0.0,0.08,-0.05,0.04,-0.02,0.04,-0.01,0.07,1.05,-0.034,0.054,-0.044,0.04,-0.02,0.018,0.018,-0.06,0.018,-0.6,0.0,0.0,0.018,0.018,0.016,-0.002,0.018
cx5_098,cx5_098,0.311981316,-0.042152428,0.2,0.08,-0.016,0.0,0.08,0.0,-0.02,-0.02,0.04,-0.02,0.07,1.004,-0.016,0.05,-0.05,0.04,0.02,0.034,0.016,0.06,0.016,-0.58,-0.05,-0.05,0.02,0.018,0.034,0.05,-0.016
cx5_099,cx5_099,0.315947304,-0.0480117,0.2,0.08,-0.034,-0.048,0.14,0.0,0.04,-0.04,0.04,-0.01,0.075,1.0,-0.034,-0.05,0.052,0.04,0.04,0.034,0.018,-0.08,0.034,-0.6,-0.048,0.002,-0.02,0.018,0.034,0.0,0.018
cx5_100,cx5_100,0.316173004,-0.03454276,0.1,0.14,-0.018,-0.05,0.14,0.0,0.04,0.04,0.04,-0.01,0.0754,1.05,-0.034,-0.05,0.052,0.04,0.04,0.034,0.034,0.04,0.016,-0.6,-0.05,-0.05,-0.02,0.018,0.034,0.0,0.02
cx5_101,cx5_101,0.313984129,-0.047036526,0.2,0.14,-0.034,0.006,0.08,-0.054,-0.02,0.04,0.04,-0.02,0.075,1.05,-0.016,0.05,-0.048,0.04,-0.02,0.018,0.034,-0.06,0.034,-0.6,-0.05,-0.05,0.02,0.018,0.032,0.0,0.016
cx5_102,cx5_102,0.315491581,-0.0401909,0.1,0.14,-0.016,-0.054,0.14,0.0,0.04,-0.02,0.04,-0.01,0.075,1.05,-0.034,-0.05,0.052,0.04,0.04,0.034,0.034,0.06,0.016,-0.6,-0.048,-0.05,-0.02,0.018,0.034,0.0,0.018
cx5_103,cx5_103,0.309460907,-0.072904335,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.016,0.05,0.048,0.04,-0.02,0.018,0.014,0.06,0.018,0.4,-0.052,-0.044,0.02,0.034,0.014,0.05,-0.016
cx5_104,cx5_104,0.313155601,-0.040497597,0.2,0.06,-0.016,0.0,0.08,0.0,-0.04,-0.04,0.04,-0.02,0.07,1.05,-0.034,0.05,-0.05,0.04,-0.04,0.034,0.016,0.06,0.034,-0.58,0.0,-0.05,-0.02,0.018,0.018,0.05,-0.016
cx5_105,cx5_105,0.311793576,-0.071550896,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.016,0.05,0.048,0.04,-0.02,0.018,0.034,0.06,0.034,0.4,-0.05,-0.05,0.02,0.034,0.014,0.05,-0.018
cx5_106,cx5_106,0.319927206,-0.045031416,0.2,0.14,-0.012,-0.05,0.14,0.0,-0.04,0.04,-0.04,-0.01,0.075,1.05,-0.034,0.052,0.05,0.04,-0.02,0.018,0.018,-0.08,0.018,-0.6,0.0,-0.05,0.02,0.034,0.018,0.05,0.016
cx5_107,cx5_107,0.313257802,-0.060547673,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,-0.02,0.04,-0.01,0.07,1.05,-0.034,-0.05,-0.05,0.04,-0.02,0.018,0.016,-0.06,0.034,0.4,-0.05,0.0,-0.02,0.016,0.034,0.0,0.018
cx5_108,cx5_108,0.315013204,-0.057628098,0.2,0.14,-0.034,-0.002,0.08,-0.054,0.04,0.04,-0.02,-0.02,0.075,0.994,-0.016,-0.054,-0.05,0.04,-0.02,0.02,0.034,-0.06,0.034,-0.6,-0.05,0.0,0.02,0.034,0.016,0.0,0.016
cx5_109,cx5_109,0.318700244,-0.029168614,0.1,0.08,-0.016,0.0,0.08,0.0,0.04,0.04,-0.02,-0.02,0.07,1.05,-0.016,-0.05,-0.05,0.04,0.04,0.016,0.034,0.06,0.034,-0.6,-0.05,-0.05,-0.02,0.034,0.034,0.0,-0.018
cx5_110,cx5_110,0.308069983,-0.042220333,0.2,0.14,-0.034,0.0,0.08,-0.05,-0.02,0.04,-0.02,-0.02,0.075,1.0,-0.018,0.05,-0.05,0.04,-0.02,0.018,0.034,-0.06,0.034,-0.6,-0.05,-0.05,-0.02,0.018,0.016,0.052,0.016
cx5_111,cx5_111,0.315854442,-0.06722675,0.2,0.08,-0.034,0.0,0.08,-0.05,0.04,-0.02,0.04,-0.01,0.07,1.0,-0.016,-0.05,0.05,0.04,-0.02,0.018,0.034,0.06,0.02,0.4,-0.05,0.0,-0.02,0.032,0.018,0.05,-0.036
cx5_112,cx5_112,0.308069402,-0.027921798,0.1,0.14,-0.016,-0.05,0.08,-0.052,0.04,0.04,0.04,-0.01,0.07,1.05,-0.016,-0.05,-0.05,0.04,0.04,0.018,0.016,0.06,0.034,-0.6,-0.05,-0.05,-0.02,0.034,0.034,0.0,0.018
cx5_113,cx5_113,0.313011337,-0.04107176,0.2,0.08,-0.016,0.0,0.08,0.0,-0.02,0.04,0.04,-0.02,0.07,1.05,-0.034,0.05,-0.05,0.04,-0.02,0.018,0.016,0.06,0.034,-0.58,-0.046,-0.05,0.02,0.018,0.034,0.05,-0.016
cx5_114,cx5_114,0.315552584,-0.064238251,0.1,0.08,-0.034,-0.05,0.14,-0.05,0.04,-0.02,0.04,-0.008,0.07,1.0,-0.016,-0.054,0.05,0.04,-0.02,0.018,0.034,0.06,0.018,0.4,-0.05,0.0,-0.02,0.034,0.018,0.05,-0.016
cx5_115,cx5_115,0.308738395,-0.063867522,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,0.04,0.04,-0.02,0.075,1.05,-0.034,0.05,-0.048,0.04,-0.02,0.018,0.034,-0.06,0.034,0.4,-0.052,-0.052,-0.03,0.036,0.014,0.05,-0.016
cx5_116,cx5_116,0.304561225,-0.044298458,0.2,0.14,-0.034,-0.002,0.08,-0.05,0.04,0.04,-0.02,-0.01,0.075,0.994,-0.034,-0.046,-0.05,0.06,-0.02,0.016,0.034,-0.06,0.034,-0.6,-0.05,-0.05,-0.02,0.034,0.016,0.052,0.016
cx5_117,cx5_117,0.315989808,-0.055774799,0.2,0.06,-0.034,0.0,0.08,-0.05,0.04,-0.02,0.04,-0.01,0.07,1.058,-0.034,-0.05,-0.044,0.04,-0.02,0.018,0.034,-0.06,0.034,-0.6,-0.05,0.0,-0.02,0.018,0.032,0.0,0.018
cx5_118,cx5_118,0.320746608,-0.048944256,0.2,0.14,-0.016,-0.05,0.14,-0.05,-0.02,0.04,-0.02,-0.01,0.07,1.05,-0.034,-0.05,-0.05,0.04,-0.02,0.018,0.034,-0.08,0.034,-0.6,0.0,0.0,-0.02,0.034,0.018,0.0,-0.018
cx5_119,cx5_119,0.321242435,-0.044618811,0.2,0.06,-0.034,-0.05,0.14,-0.05,-0.02,0.04,-0.02,-0.02,0.075,1.05,-0.034,-0.05,0.05,0.04,-0.04,0.018,0.034,0.06,0.018,-0.6,0.0,0.0,0.02,0.036,0.018,0.0,0.018
cx5_120,cx5_120,0.307166962,-0.033441874,0.2,0.06,-0.018,0.0,0.08,-0.05,0.04,0.04,0.04,-0.01,0.0698,1.05,-0.034,-0.05,0.048,0.04,0.0,0.018,0.018,-0.06,0.034,-0.6,-0.05,-0.05,-0.02,0.018,0.034,0.0,0.018
cx5_121,cx5_121,0.309640892,-0.049569094,0.2,0.14,-0.034,-0.002,0.08,-0.054,-0.02,0.04,-0.02,-0.02,0.075,0.994,-0.016,0.05,-0.05,0.04,-0.02,0.018,0.034,-0.06,0.034,-0.6,-0.05,-0.05,0.02,0.034,0.016,0.0,0.016
cx5_122,cx5_122,0.313312724,-0.038276527,0.1,0.14,-0.018,-0.05,0.08,0.0,0.04,0.04,0.04,-0.02,0.07,1.05,-0.018,0.05,-0.048,0.04,0.04,0.018,0.018,0.06,0.034,-0.6,-0.05,-0.05,0.02,0.034,0.034,0.0,-0.016
cx5_123,cx5_123,0.311652385,-0.056695915,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.016,0.05,-0.05,0.04,-0.02,0.018,0.034,0.06,0.034,0.4,-0.052,-0.05,0.02,0.034,0.018,0.05,-0.018
cx5_124,cx5_124,0.321003019,-0.055892042,0.2,0.14,-0.016,-0.05,0.14,-0.05,0.04,0.04,-0.02,-0.01,0.07,1.05,-0.034,0.05,-0.05,-0.04,0.04,0.018,0.034,-0.06,0.034,0.4,0.0,0.0,0.02,0.034,0.018,-0.002,-0.016
cx5_125,cx5_125,0.319899364,-0.040320924,0.2,0.14,-0.034,0.0,0.14,-0.05,-0.02,0.04,-0.02,-0.02,0.075,1.05,-0.034,-0.05,0.056,0.04,0.04,0.018,0.016,0.06,0.018,0.4,0.0,-0.05,0.02,0.034,0.018,0.0,-0.018
cx5_126,cx5_126,0.310795821,-0.055701558,0.2,0.08,-0.016,0.0,0.08,0.0,-0.02,0.04,0.04,-0.02,0.07,1.05,-0.034,0.05,-0.052,0.04,-0.04,0.034,0.016,0.06,0.016,-0.58,-0.05,-0.05,0.02,0.018,0.018,0.05,-0.018
cx5_127,cx5_127,0.314995557,-0.072302681,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,0.04,-0.02,-0.02,0.0768,1.0,-0.016,0.05,0.05,0.04,-0.02,0.018,0.034,-0.08,0.018,0.4,-0.05,-0.046,0.02,0.034,0.014,0.05,-0.016
cx5_128,cx5_128,0.317909864,-0.032342576,0.1,0.08,-0.018,-0.05,0.14,0.0,-0.02,0.04,0.04,-0.01,0.075,1.0,-0.034,-0.05,0.052,0.04,-0.04,0.034,0.034,-0.06,0.016,-0.6,-0.048,-0.05,-0.02,0.018,0.034,0.004,0.018
cx5_129,cx5_129,0.311554013,-0.036237784,0.1,0.14,-0.016,-0.038,0.08,-0.05,0.04,0.04,0.04,-0.01,0.0746,1.0,-0.034,-0.05,-0.05,0.04,0.04,0.018,0.034,0.06,0.018,-0.6,-0.05,-0.05,-0.02,0.018,0.034,0.05,0.018
cx5_130,cx5_130,0.310119899,-0.062272309,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.034,-0.048,0.048,0.04,-0.02,0.018,0.014,0.06,0.034,0.4,-0.05,-0.05,-0.02,0.034,0.014,0.05,-0.016
cx5_131,cx5_131,0.313135654,-0.026555136,0.1,0.14,-0.016,-0.05,0.08,-0.052,0.04,0.04,0.04,-0.01,0.0752,1.05,-0.018,-0.05,-0.05,-0.02,0.04,0.018,0.016,0.06,0.034,-0.6,-0.05,-0.05,-0.022,0.034,0.034,0.034,0.018
cx5_132,cx5_132,0.311843744,-0.031459883,0.1,0.14,-0.016,-0.05,0.14,0.0,0.04,0.04,0.04,-0.01,0.0748,1.05,-0.016,-0.05,-0.05,0.04,0.04,0.018,0.018,0.06,0.034,-0.6,-0.05,-0.05,-0.02,0.034,0.034,0.0,0.018
cx5_133,cx5_133,0.306763093,-0.045280389,0.2,0.08,-0.028,-0.002,0.08,-0.05,0.04,0.04,-0.02,-0.01,0.075,1.0,-0.034,-0.05,-0.05,0.04,-0.02,0.016,0.034,-0.06,0.034,-0.6,-0.05,-0.05,-0.02,0.034,0.016,0.052,0.016
cx5_134,cx5_134,0.310471495,-0.06782875,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.016,0.05,0.05,0.04,-0.02,0.018,0.034,0.06,0.034,0.4,-0.05,-0.05,0.02,0.034,0.014,0.05,-0.018
cx5_135,cx5_135,0.310041532,-0.067865077,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.016,0.05,0.048,0.04,-0.02,0.018,0.034,-0.06,0.034,0.4,-0.05,-0.05,0.02,0.032,0.014,0.05,-0.018
cx5_136,cx5_136,0.310926086,-0.067725171,0.2,0.08,-0.034,0.0,0.08,-0.05,0.04,-0.02,0.04,-0.01,0.07,1.05,-0.034,-0.05,-0.05,0.04,-0.02,0.018,0.034,-0.06,0.034,-0.54,-0.05,0.0,-0.02,0.034,0.018,0.0,0.018
cx5_137,cx5_137,0.312761425,-0.032941001,0.1,0.14,-0.016,-0.05,0.06,0.018,0.04,0.04,-0.04,-0.02,0.07,1.05,-0.016,-0.05,-0.06,0.04,0.04,0.018,0.018,0.06,0.034,-0.6,-0.05,-0.05,-0.02,0.034,0.034,0.0,0.016
cx5_138,cx5_138,0.304270284,-0.038278736,0.1,0.08,-0.034,0.0,0.08,-0.05,0.04,0.04,0.04,-0.01,0.0744,1.0,-0.034,-0.05,-0.05,0.04,0.06,0.016,0.034,-0.06,0.018,-0.6,-0.05,-0.05,-0.02,0.018,0.016,0.0,0.018
cx5_139,cx5_139,0.311228123,-0.054354637,0.12,0.14,-0.034,-0.05,0.08,-0.05,-0.02,0.04,0.04,-0.01,0.0744,1.05,-0.016,0.05,0.05,0.04,-0.04,0.018,0.016,-0.06,0.018,-0.6,0.0,0.0,0.018,0.036,0.016,0.05,0.018
cx5_140,cx5_140,0.31069881,-0.057670162,0.12,0.08,-0.034,-0.05,0.08,-0.05,-0.02,-0.02,0.04,-0.02,0.07,1.05,-0.016,-0.048,0.05,0.04,-0.04,0.02,0.018,-0.06,0.018,0.38,-0.052,0.0,0.018,0.034,0.016,0.05,0.018
cx5_141,cx5_141,0.315315342,-0.060061108,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,-0.02,0.04,-0.02,0.075,1.0,-0.016,0.05,0.048,0.04,-0.02,0.018,0.016,0.06,0.034,0.4,-0.05,-0.05,-0.02,0.034,0.034,0.002,-0.018
cx5_142,cx5_142,0.309689273,-0.035244999,0.2,0.06,-0.034,-0.002,0.08,-0.05,0.04,0.04,-0.02,-0.01,0.075,0.994,-0.034,-0.046,-0.044,0.04,-0.02,0.016,0.034,-0.06,0.032,-0.6,-0.05,-0.05,-0.02,0.034,0.034,0.052,0.016
cx5_143,cx5_143,0.31900665,-0.06756249,0.2,0.14,-0.034,0.0,0.08,-0.05,0.04,0.04,-0.02,-0.01,0.076,1.0,-0.034,0.05,-0.05,-0.04,-0.02,0.018,0.034,-0.06,0.034,0.4,-0.05,-0.05,0.02,0.034,0.018,0.05,-0.016
cx5_144,cx5_144,0.312963905,-0.042247794,0.1,0.14,-0.016,-0.05,0.08,0.0,0.04,0.04,0.04,-0.02,0.07,1.05,-0.016,-0.05,-0.05,0.04,-0.02,0.018,0.034,0.06,0.034,-0.6,-0.05,-0.05,-0.02,0.034,0.034,0.0,0.018
cx5_145,cx5_145,0.309485974,-0.053349171,0.1,0.08,-0.016,-0.05,0.08,-0.05,-0.02,0.04,0.04,-0.01,0.0744,1.05,-0.016,0.05,-0.048,0.04,-0.04,0.018,0.016,-0.06,0.018,-0.6,-0.048,-0.05,0.018,0.036,0.016,0.054,0.018
cx5_146,cx5_146,0.31615396,-0.052873929,0.2,0.08,-0.016,-0.05,0.08,-0.05,0.04,0.04,-0.02,-0.01,0.075,1.002,-0.034,0.05,-0.05,-0.02,0.04,0.018,0.034,-0.06,0.034,-0.6,-0.05,-0.052,-0.016,0.034,0.018,0.05,-0.018
cx5_147,cx5_147,0.307489693,-0.05125228,0.12,0.08,-0.034,-0.048,0.06,-0.05,-0.02,-0.04,0.04,-0.01,0.0744,1.05,-0.016,0.05,-0.052,0.04,-0.04,0.018,0.018,-0.06,0.018,-0.6,0.0,-0.05,0.018,0.036,0.016,0.05,0.018
cx5_148,cx5_148,0.312445443,-0.057319784,0.12,0.08,-0.034,-0.002,0.08,-0.05,0.04,0.04,0.04,-0.01,0.0744,1.05,-0.016,-0.046,-0.05,0.04,-0.02,0.018,0.034,-0.06,0.018,-0.6,0.0,0.0,0.018,0.036,0.016,0.052,0.018
cx5_149,cx5_149,0.309265849,-0.050761201,0.12,0.08,-0.034,-0.05,0.08,-0.05,-0.02,0.04,0.04,-0.008,0.0746,1.05,-0.016,0.05,0.05,0.04,-0.04,0.018,0.016,-0.06,0.018,-0.6,0.0,-0.05,0.018,0.036,0.016,0.05,0.02
cx5_150,cx5_150,0.31094882,-0.049687232,0.2,0.08,-0.034,0.0,0.08,-0.05,0.04,0.04,-0.02,-0.02,0.075,1.0,-0.034,0.05,0.048,0.04,-0.02,0.018,0.014,-0.06,0.034,0.4,-0.052,0.002,0.02,0.034,0.018,0.05,0.016
cx5_151,cx5_151,0.313736298,-0.029570974,0.1,0.14,-0.018,-0.05,0.14,0.0,0.04,0.04,0.04,-0.02,0.07,1.05,-0.018,-0.05,0.052,0.04,0.04,0.034,0.018,0.06,0.034,-0.6,-0.048,-0.05,-0.02,0.018,0.034,0.0,-0.018
cx5_152,cx5_152,0.313628563,-0.059154178,0.2,0.14,-0.034,-0.05,0.08,-0.05,0.04,0.04,-0.02,-0.02,0.075,1.034,-0.016,0.048,-0.05,0.04,-0.02,0.018,0.034,-0.06,0.034,0.4,-0.05,-0.05,-0.02,0.034,0.018,0.052,-0.016
cx5_153,cx5_153,0.308078181,-0.027158743,0.1,0.08,-0.016,-0.05,0.14,-0.05,-0.02,0.04,0.04,-0.02,0.0744,1.0,-0.016,-0.05,-0.05,0.04,0.04,0.016,0.034,-0.06,0.018,-0.6,-0.05,-0.05,-0.02,0.018,0.016,0.05,0.018
cx5_154,cx5_154,0.314867773,-0.038427185,0.1,0.14,-0.018,-0.05,0.14,-0.006,0.04,0.04,0.04,-0.02,0.075,1.05,-0.018,-0.012,-0.044,0.04,0.04,0.018,0.018,-0.06,0.016,-0.6,-0.048,-0.05,0.02,0.034,0.034,0.0,0.018
cx5_155,cx5_155,0.315719024,-0.066677534,0.2,0.08,-0.018,-0.05,0.08,-0.05,0.04,0.04,-0.02,-0.01,0.07,1.05,-0.034,0.05,0.046,0.04,0.04,0.018,0.014,0.06,0.034,-0.54,-0.052,0.0,-0.02,0.034,0.02,0.05,-0.016
cx5_156,cx5_156,0.324886746,-0.048601909,0.2,0.08,-0.02,-0.05,0.14,-0.05,0.04,0.04,-0.02,-0.01,0.07,1.05,-0.034,0.05,-0.05,-0.02,0.04,0.018,0.034,-0.06,0.018,-0.6,0.0,-0.05,-0.02,0.034,0.018,0.046,-0.016
cx5_157,cx5_157,0.318754229,-0.067791198,0.2,0.14,-0.034,0.0,0.14,-0.002,0.04,0.04,-0.02,-0.02,0.075,1.05,-0.034,-0.05,0.05,0.04,-0.04,0.018,0.034,0.06,0.018,0.38,0.0,-0.05,0.02,0.034,0.014,0.05,0.018
cx5_158,cx5_158,0.318624058,-0.059571265,0.2,0.14,-0.034,0.0,0.08,-0.05,-0.04,0.04,-0.02,-0.02,0.075,1.0,-0.016,0.05,-0.048,0.04,-0.02,0.016,0.014,-0.06,0.018,0.4,0.0,-0.046,0.02,0.034,0.014,0.05,-0.016
cx5_159,cx5_159,0.313797323,-0.038741606,0.2,0.06,-0.034,0.0,0.08,-0.05,-0.04,-0.02,0.04,-0.01,0.07,1.05,-0.034,-0.05,0.05,0.04,-0.02,0.018,0.018,-0.06,0.034,-0.6,-0.052,0.0,-0.02,0.034,0.034,0.0,0.018
cx5_160,cx5_160,0.317066115,-0.042341123,0.2,0.14,-0.034,0.0,0.08,-0.05,-0.04,-0.02,0.04,-0.01,0.07,1.05,-0.034,-0.056,0.05,0.04,-0.02,0.018,0.018,-0.06,0.034,0.4,-0.05,0.0,-0.02,0.018,0.034,0.0,0.018
cx5_161,cx5_161,0.309429004,-0.056938244,0.14,0.08,-0.034,-0.05,0.08,-0.05,-0.02,0.04,0.04,-0.01,0.0744,1.05,-0.016,0.05,0.05,0.04,-0.04,0.018,0.018,-0.06,0.018,-0.6,0.0,0.0,0.018,0.036,0.016,0.05,0.018
cx5_162,cx5_162,0.309589606,-0.046561292,0.2,0.08,-0.038,0.0,0.08,0.0,0.04,0.04,0.04,-0.02,0.075,1.05,-0.034,0.05,0.048,0.04,-0.02,0.034,0.018,-0.06,0.034,0.4,-0.05,-0.052,0.02,0.034,0.018,0.0,0.02
cx5_163,cx5_163,0.317066115,-0.042341123,0.2,0.14,-0.034,0.0,0.08,-0.05,-0.04,-0.02,0.04,-0.01,0.07,1.05,-0.034,-0.056,0.05,0.04,-0.02,0.018,0.018,-0.06,0.034,0.4,-0.05,0.0,-0.02,0.018,0.034,0.0,0.018
cx5_164,cx5_164,0.311514815,-0.057726151,0.2,0.14,-0.034,0.0,0.14,-0.002,0.04,0.04,0.04,-0.02,0.075,1.05,-0.034,0.052,0.05,0.04,-0.04,0.018,0.034,0.06,0.018,0.38,0.0,-0.05,0.02,0.034,0.014,0.05,0.018
cx5_165,cx5_165,0.310926086,-0.067725171,0.2,0.08,-0.034,0.0,0.08,-0.05,0.04,-0.02,0.04,-0.01,0.07,1.05,-0.034,-0.05,-0.05,0.04,-0.02,0.018,0.034,-0.06,0.034,-0.54,-0.05,0.0,-0.02,0.034,0.018,0.0,0.018
cx5_166,cx5_166,0.319193965,-0.060177424,0.2,0.08,-0.034,0.0,0.08,-0.05,0.04,-0.02,-0.04,-0.01,0.07,1.05,-0.034,-0.048,-0.082,0.04,0.04,0.018,0.034,-0.08,0.034,-0.6,-0.05,0.0,-0.02,0.034,0.018,0.0,0.018
cx5_167,cx5_167,0.307835498,-0.061904288,0.2,0.08,-0.034,0.0,0.08,-0.05,0.04,0.04,0.04,-0.01,0.07,1.05,-0.034,0.052,-0.05,0.04,-0.02,0.018,0.034,-0.04,0.034,0.4,-0.05,-0.052,-0.02,0.034,0.016,0.05,0.018
cx5_168,cx5_168,0.308310777,-0.04737008,0.1,0.14,-0.016,-0.05,0.08,0.0,0.04,0.04,0.04,-0.02,0.07,1.05,-0.016,-0.05,-0.05,0.04,-0.02,0.018,0.034,0.06,0.034,0.38,-0.05,-0.05,-0.02,0.034,0.018,0.05,0.018
cx5_169,cx5_169,0.316635461,-0.070737355,0.2,0.08,-0.018,0.0,0.08,-0.05,0.04,-0.02,-0.02,-0.01,0.07,1.05,-0.034,-0.05,-0.05,0.04,-0.02,0.018,0.018,-0.06,0.034,-0.54,-0.05,0.0,-0.02,0.034,0.018,0.0,0.018
cx5_170,cx5_170,0.309740107,-0.057299326,0.2,0.14,-0.016,-0.05,0.14,-0.05,0.04,-0.02,0.04,-0.02,0.0702,1.004,-0.016,-0.05,0.05,0.06,-0.02,0.034,0.034,-0.1,0.018,0.4,-0.05,-0.002,-0.02,0.034,0.018,0.052,0.018
cx5_171,cx5_171,0.31592593,-0.066428782,0.2,0.08,-0.034,0.0,0.08,-0.002,0.04,0.04,-0.02,-0.02,0.075,1.05,-0.034,-0.05,0.05,0.04,-0.04,0.018,0.034,-0.06,0.018,-0.54,0.0,0.0,0.02,0.034,0.014,0.05,0.018
cx5_172,cx5_172,0.307665693,-0.019309419,0.08,0.08,-0.034,-0.05,0.08,0.0,-0.02,0.04,0.06,-0.01,0.075,1.002,-0.016,0.05,0.05,-0.02,-0.02,0.016,0.018,-0.06,0.016,-0.6,-0.05,0.0,0.02,0.034,0.034,0.058,0.018
cx5_173,cx5_173,0.306108096,-0.041872973,0.1,0.06,-0.034,0.0,0.08,-0.05,0.04,0.04,0.04,-0.01,0.0744,1.0,-0.034,-0.05,-0.05,0.04,0.04,0.016,0.034,-0.06,0.018,-0.6,-0.05,0.002,-0.02,0.018,0.016,0.05,0.018
cx5_174,cx5_174,0.312014439,-0.032917707,0.1,0.14,-0.018,-0.05,0.08,0.0,0.04,0.04,0.04,-0.01,0.07,0.998,-0.018,0.05,-0.064,0.04,0.04,0.034,0.018,-0.06,0.034,-0.6,-0.048,-0.05,-0.02,0.034,0.03,0.004,0.018
cx5_175,cx5_175,0.314631611,-0.063677981,0.2,0.14,-0.034,0.0,0.14,-0.002,0.04,0.04,-0.02,-0.02,0.075,1.05,-0.034,-0.05,0.05,0.04,-0.04,0.016,0.034,0.06,0.018,0.38,0.0,-0.05,0.02,0.034,0.014,0.048,0.018
